field,type,unit,description,allowed_values_or_rule,missingness
shipment_id,text,identifier,Synthetic shipment identifier,unique G38-prefixed value,none
operating_group,text,category,Controlled operating group used to construct the example,ordinary; late,none
route_distance_km,decimal,kilometres,Illustrative unscaled route distance,positive,none
port_wait_hours,decimal,hours,Illustrative unscaled expected port waiting time,nonnegative,none
distance_scaled,decimal,standardised coordinate,Scaled route-distance coordinate used by the models,approximately -1.6 to 1.6,none
wait_scaled,decimal,standardised coordinate,Scaled waiting-time coordinate used by the models,approximately -1.6 to 1.6,none
late_label,integer,binary class,Synthetic late-shipment outcome,0; 1,none
radial_position,decimal,scaled distance,Distance from the origin in the two-feature geometry,nonnegative,none
query_distance,decimal,scaled distance,Euclidean distance from the fixed query at (1.05; 0.40),nonnegative,none
query_neighbor_rank,integer,rank,Stable ascending Euclidean-distance rank from the query,1 to 48,none
rbf_similarity_gamma_1,decimal,similarity,RBF similarity exp(-query_distance squared) at gamma 1,0 to 1,none
