scenario,iteration,learning_rate,parameter_x,parameter_y,loss,gradient_x,gradient_y,gradient_norm,distance_to_optimum
one_parameter,0,0.05,0.0,,18.0,-8.0,,8.0,4.0
one_parameter,1,0.05,0.4,,14.96,-7.2,,7.2,3.6
one_parameter,2,0.05,0.76,,12.497600000000002,-6.48,,6.48,3.24
one_parameter,3,0.05,1.084,,10.503055999999999,-5.832,,5.832,2.916
one_parameter,4,0.05,1.3756000000000002,,8.887475359999998,-5.248799999999999,,5.248799999999999,2.6243999999999996
one_parameter,5,0.05,1.6380400000000002,,7.578855041599999,-4.72392,,4.72392,2.36196
one_parameter,6,0.05,1.8742360000000002,,6.518872583695999,-4.2515279999999995,,4.2515279999999995,2.1257639999999998
one_parameter,7,0.05,2.0868124000000003,,5.660286792793759,-3.8263751999999993,,3.8263751999999993,1.9131875999999997
one_parameter,8,0.05,2.2781311600000005,,4.964832302162944,-3.443737679999999,,3.443737679999999,1.7218688399999995
one_parameter,9,0.05,2.4503180440000003,,4.401514164751985,-3.0993639119999994,,3.0993639119999994,1.5496819559999997
one_parameter,10,0.05,2.6052862396000003,,3.945226473449108,-2.7894275207999994,,2.7894275207999994,1.3947137603999997
one_parameter,11,0.05,2.74475761564,,3.5756334434937775,-2.5104847687199996,,2.5104847687199996,1.2552423843599998
one_parameter,12,0.05,2.870281854076,,3.2762630892299605,-2.259436291848,,2.259436291848,1.129718145924
one_parameter,13,0.05,2.9832536686684,,3.0337731022762675,-2.0334926626631997,,2.0334926626631997,1.0167463313315999
one_parameter,14,0.05,3.0849283018015603,,2.837356212843776,-1.8301433963968794,,1.8301433963968794,0.9150716981984397
one_parameter,15,0.05,3.1764354716214043,,2.6782585324034587,-1.6471290567571915,,1.6471290567571915,0.8235645283785957
one_parameter,16,0.05,3.258791924459264,,2.5493894112468016,-1.4824161510814724,,1.4824161510814724,0.7412080755407362
one_parameter,17,0.05,3.3329127320133374,,2.4450054231099094,-1.3341745359733252,,1.3341745359733252,0.6670872679866626
one_parameter,18,0.05,3.3996214588120037,,2.3604543927190265,-1.2007570823759925,,1.2007570823759925,0.6003785411879963
one_parameter,19,0.05,3.4596593129308033,,2.2919680581024116,-1.0806813741383934,,1.0806813741383934,0.5403406870691967
one_parameter,20,0.05,3.513693381637723,,2.236494127062953,-0.9726132367245537,,0.9726132367245537,0.48630661836227684
one_parameter,0,0.1,0.0,,18.0,-8.0,,8.0,4.0
one_parameter,1,0.1,0.8,,12.240000000000002,-6.4,,6.4,3.2
one_parameter,2,0.1,1.4400000000000002,,8.553599999999998,-5.119999999999999,,5.119999999999999,2.5599999999999996
one_parameter,3,0.1,1.952,,6.194304,-4.096,,4.096,2.048
one_parameter,4,0.1,2.3616,,4.684354559999999,-3.2767999999999997,,3.2767999999999997,1.6383999999999999
one_parameter,5,0.1,2.68928,,3.7179869183999994,-2.6214399999999998,,2.6214399999999998,1.3107199999999999
one_parameter,6,0.1,2.9514240000000003,,3.0995116277759998,-2.0971519999999995,,2.0971519999999995,1.0485759999999997
one_parameter,7,0.1,3.1611392,,2.7036874417766397,-1.6777216,,1.6777216,0.8388608
one_parameter,8,0.1,3.32891136,,2.4503599627370494,-1.3421772799999996,,1.3421772799999996,0.6710886399999998
one_parameter,9,0.1,3.463129088,,2.2882303761517115,-1.0737418239999998,,1.0737418239999998,0.5368709119999999
one_parameter,10,0.1,3.5705032704,,2.1844674407370954,-0.8589934591999997,,0.8589934591999997,0.42949672959999985
one_parameter,11,0.1,3.6564026163200003,,2.118059162071741,-0.6871947673599994,,0.6871947673599994,0.3435973836799997
one_parameter,12,0.1,3.725122093056,,2.075557863725914,-0.5497558138879999,,0.5497558138879999,0.27487790694399994
one_parameter,13,0.1,3.7800976744448,,2.048357032784585,-0.4398046511103999,,0.4398046511103999,0.21990232555519995
one_parameter,14,0.1,3.82407813955584,,2.0309485009821344,-0.3518437208883203,,0.3518437208883203,0.17592186044416014
one_parameter,15,0.1,3.8592625116446717,,2.019807040628566,-0.2814749767106566,,0.2814749767106566,0.1407374883553283
one_parameter,16,0.1,3.8874100093157375,,2.012676506002282,-0.2251799813685249,,0.2251799813685249,0.11258999068426245
one_parameter,17,0.1,3.90992800745259,,2.0081129638414605,-0.1801439850948201,,0.1801439850948201,0.09007199254741005
one_parameter,18,0.1,3.927942405962072,,2.0051922968585347,-0.14411518807585644,,0.14411518807585644,0.07205759403792822
one_parameter,19,0.1,3.9423539247696575,,2.003323069989462,-0.11529215046068497,,0.11529215046068497,0.057646075230342486
one_parameter,20,0.1,3.953883139815726,,2.002126764793256,-0.09223372036854816,,0.09223372036854816,0.04611686018427408
one_parameter,0,0.6,0.0,,18.0,-8.0,,8.0,4.0
one_parameter,1,0.6,4.8,,2.6399999999999997,1.5999999999999996,,1.5999999999999996,0.7999999999999998
one_parameter,2,0.6,3.84,,2.0256,-0.3200000000000003,,0.3200000000000003,0.16000000000000014
one_parameter,3,0.6,4.032,,2.001024,0.06400000000000006,,0.06400000000000006,0.03200000000000003
one_parameter,4,0.6,3.9936,,2.00004096,-0.012800000000000367,,0.012800000000000367,0.006400000000000183
one_parameter,5,0.6,4.00128,,2.0000016384,0.002560000000000784,,0.002560000000000784,0.001280000000000392
one_parameter,6,0.6,3.9997439999999997,,2.000000065536,-0.000512000000000512,,0.000512000000000512,0.000256000000000256
one_parameter,7,0.6,4.0000512,,2.00000000262144,0.00010239999999939187,,0.00010239999999939187,5.119999999969593e-05
one_parameter,8,0.6,3.99998976,,2.0000000001048575,-2.0479999999878373e-05,,2.0479999999878373e-05,1.0239999999939187e-05
one_parameter,9,0.6,4.000002048,,2.0000000000041944,4.095999999620403e-06,,4.095999999620403e-06,2.0479999998102016e-06
one_parameter,10,0.6,3.9999995904,,2.000000000000168,-8.19200000279352e-07,,8.19200000279352e-07,4.09600000139676e-07
one_parameter,11,0.6,4.00000008192,,2.0000000000000067,1.6383999934532767e-07,,1.6383999934532767e-07,8.191999967266383e-08
one_parameter,12,0.6,3.999999983616,,2.0000000000000004,-3.2767999869065534e-08,,3.2767999869065534e-08,1.6383999934532767e-08
one_parameter,13,0.6,4.0000000032768,,2.0,6.553600329084475e-09,,6.553600329084475e-09,3.2768001645422373e-09
one_parameter,14,0.6,3.99999999934464,,2.0,-1.3107204210882628e-09,,1.3107204210882628e-09,6.553602105441314e-10
one_parameter,15,0.6,4.000000000131072,,2.0,2.6214408421765256e-10,,2.6214408421765256e-10,1.3107204210882628e-10
one_parameter,16,0.6,3.9999999999737854,,2.0,-5.242917211489839e-11,,5.242917211489839e-11,2.6214586057449196e-11
one_parameter,17,0.6,4.000000000005243,,2.0,1.0485834422979678e-11,,1.0485834422979678e-11,5.242917211489839e-12
one_parameter,18,0.6,3.9999999999989515,,2.0,-2.0969892489119957e-12,,2.0969892489119957e-12,1.0484946244559978e-12
one_parameter,19,0.6,4.00000000000021,,2.0,4.192202140984591e-13,,4.192202140984591e-13,2.0961010704922955e-13
one_parameter,20,0.6,3.9999999999999583,,2.0,-8.348877145181177e-14,,8.348877145181177e-14,4.1744385725905886e-14
one_parameter,0,1.1,0.0,,18.0,-8.0,,8.0,4.0
one_parameter,1,1.1,8.8,,25.040000000000006,9.600000000000001,,9.600000000000001,4.800000000000001
one_parameter,2,1.1,-1.7600000000000016,,35.17760000000002,-11.520000000000003,,11.520000000000003,5.760000000000002
one_parameter,3,1.1,10.912000000000003,,49.77574400000004,13.824000000000005,,13.824000000000005,6.912000000000003
one_parameter,4,1.1,-4.294400000000005,,70.79707136000007,-16.58880000000001,,16.58880000000001,8.294400000000005
one_parameter,5,1.1,13.953280000000008,,101.06778275840017,19.906560000000017,,19.906560000000017,9.953280000000008
one_parameter,6,1.1,-7.943936000000013,,144.6576071720963,-23.887872000000026,,23.887872000000026,11.943936000000013
one_parameter,7,1.1,18.332723200000018,,207.42695432781875,28.665446400000036,,28.665446400000036,14.332723200000018
one_parameter,8,1.1,-13.199267840000026,,297.8148142320592,-34.39853568000005,,34.39853568000005,17.199267840000026
one_parameter,9,1.1,24.639121408000037,,427.9733324941654,41.27824281600007,,41.27824281600007,20.639121408000037
one_parameter,10,1.1,-20.76694568960005,,615.4015987915985,-49.5338913792001,,49.5338913792001,24.76694568960005
one_parameter,11,1.1,33.72033482752006,,885.298302259902,59.440669655040125,,59.440669655040125,29.720334827520063
one_parameter,12,1.1,-31.664401793024084,,1273.9495552542594,-71.32880358604817,,71.32880358604817,35.66440179302408
one_parameter,13,1.1,46.797282151628906,,1833.6073595661342,85.59456430325781,,85.59456430325781,42.797282151628906
one_parameter,14,1.1,-47.3567385819547,,2639.5145977752345,-102.7134771639094,,102.7134771639094,51.3567385819547
one_parameter,15,1.1,65.62808629834565,,3800.0210207963387,123.2561725966913,,123.2561725966913,61.62808629834565
one_parameter,16,1.1,-69.9537035580148,,5471.15026994673,-147.9074071160296,,147.9074071160296,73.9537035580148
one_parameter,17,1.1,92.74444426961777,,7877.576388723295,177.48888853923555,,177.48888853923555,88.74444426961777
one_parameter,18,1.1,-102.49333312354135,,11342.829999761549,-212.9866662470827,,212.9866662470827,106.49333312354135
one_parameter,19,1.1,131.79199974824962,,16332.795199656632,255.58399949649925,,255.58399949649925,127.79199974824962
one_parameter,20,1.1,-149.35039969789955,,23518.34508750555,-306.7007993957991,,306.7007993957991,153.35039969789955
two_parameter,0,0.1,-3.0,4.0,50.0,-10.0,10.0,14.142135623730951,7.0710678118654755
two_parameter,1,0.1,-2.0,3.0,32.0,-8.0,8.0,11.313708498984761,5.656854249492381
two_parameter,2,0.1,-1.2,2.2,20.480000000000004,-6.4,6.4,9.050966799187808,4.525483399593904
two_parameter,3,0.1,-0.5599999999999998,1.56,13.107199999999999,-5.119999999999999,5.12,7.240773439350246,3.620386719675123
two_parameter,4,0.1,-0.04799999999999993,1.048,8.388608,-4.096,4.096,5.792618751480197,2.8963093757400986
two_parameter,5,0.1,0.3616000000000001,0.6384000000000001,5.36870912,-3.2767999999999997,3.2768,4.634095001184158,2.317047500592079
two_parameter,6,0.1,0.6892800000000001,0.31072000000000005,3.4359738367999997,-2.6214399999999998,2.62144,3.7072760009473265,1.8536380004736632
two_parameter,7,0.1,0.951424,0.04857600000000001,2.199023255552,-2.097152,2.097152,2.965820800757861,1.4829104003789304
two_parameter,8,0.1,1.1611392,-0.16113919999999998,1.4073748835532798,-1.6777216,1.6777216,2.3726566406062886,1.1863283203031443
two_parameter,9,0.1,1.32891136,-0.32891136,0.9007199254740993,-1.34217728,1.34217728,1.898125312485031,0.9490626562425155
two_parameter,10,0.1,1.463129088,-0.46312908799999997,0.5764607523034234,-1.0737418239999998,1.073741824,1.5185002499880247,0.7592501249940123
