run_id,seed,learning_rate,epoch,loss_before_update,total_gradient_norm,analytical_gradient_w1_00,numerical_gradient_w1_00,absolute_gradient_check_difference,final_probability_x00,final_probability_x01,final_probability_x10,final_probability_x11,final_prediction_pattern
xor-slow,2,0.01,1,0.700143529,0.075846749,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,2,0.700086034,0.075763097,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,3,0.700028665,0.075679762,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,4,0.699971422,0.075596743,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,5,0.699914305,0.075514039,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,6,0.699857312,0.075431650,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,7,0.699800444,0.075349575,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,8,0.699743699,0.075267813,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,9,0.699687077,0.075186363,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,10,0.699630578,0.075105224,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,11,0.699574200,0.075024396,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,12,0.699517944,0.074943877,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,13,0.699461808,0.074863667,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,14,0.699405793,0.074783765,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,15,0.699349896,0.074704171,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,16,0.699294119,0.074624883,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,17,0.699238459,0.074545900,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,18,0.699182918,0.074467223,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,19,0.699127493,0.074388849,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,20,0.699072185,0.074310779,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,21,0.699016993,0.074233012,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,22,0.698961917,0.074155546,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,23,0.698906955,0.074078381,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,24,0.698852107,0.074001516,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,25,0.698797374,0.073924951,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,26,0.698742753,0.073848685,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,27,0.698688245,0.073772716,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,28,0.698633848,0.073697045,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,29,0.698579564,0.073621671,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,30,0.698525390,0.073546592,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,31,0.698471326,0.073471808,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,32,0.698417373,0.073397319,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,33,0.698363528,0.073323123,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,34,0.698309792,0.073249220,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,35,0.698256165,0.073175609,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,36,0.698202645,0.073102290,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,37,0.698149232,0.073029261,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,38,0.698095926,0.072956523,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,39,0.698042726,0.072884073,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,40,0.697989632,0.072811913,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,41,0.697936642,0.072740040,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,42,0.697883757,0.072668455,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,43,0.697830976,0.072597156,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,44,0.697778298,0.072526144,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,45,0.697725723,0.072455416,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,46,0.697673251,0.072384973,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,47,0.697620881,0.072314814,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,48,0.697568612,0.072244938,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,49,0.697516443,0.072175345,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,50,0.697464376,0.072106034,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,51,0.697412408,0.072037004,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,52,0.697360539,0.071968254,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,53,0.697308770,0.071899785,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,54,0.697257098,0.071831594,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,55,0.697205525,0.071763683,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,56,0.697154049,0.071696049,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,57,0.697102670,0.071628693,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,58,0.697051387,0.071561614,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,59,0.697000201,0.071494811,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,60,0.696949109,0.071428283,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,61,0.696898113,0.071362031,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,62,0.696847211,0.071296052,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,63,0.696796403,0.071230347,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,64,0.696745689,0.071164916,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,65,0.696695068,0.071099756,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,66,0.696644539,0.071034869,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,67,0.696594103,0.070970253,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,68,0.696543758,0.070905907,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,69,0.696493504,0.070841832,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,70,0.696443341,0.070778026,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,71,0.696393268,0.070714489,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
xor-slow,2,0.01,72,0.696343285,0.070651220,-0.012622612849,-0.012622612849,0.000000000000768,0.503973697,0.532304768,0.495592504,0.466153184,1100
